Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cordoba;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cordoba;Vea;475 - Arguello.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;125;0;0;25;0;100;80;20;0,25;0;;25;25/2/2023;1;AL;V;SI;119,76;0;9779
Cordoba;Vea;476 - Colon II.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;230;0;0;23;0;9999;12;10;0;0;;25;14/2/2023;12;AL;V;SI;119,76;0;9779
Cordoba;Vea;478 - Bellville.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;250;0;0;25;0;9999;12;10;0;0;;25;28/12/2022;40;AL;V;SI;119,76;0;9779
Cordoba;Vea;479 - Rio Cuarto.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;46;0;7;0;14;30;15;0,5;194,64;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;485 - La Calera..;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;250;0;0;25;0;9999;12;10;0;0;;25;22/10/2022;77;AL;V;SI;119,76;0;9779
Cordoba;Vea;503 - Marcos Juarez.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;220;0;0;22;0;88;40;10;0,25;0;;25;19/2/2023;7;AL;V;SI;119,76;0;9779
Cordoba;Disco;583 - SM 583 - Villa Allende.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;113;0;0;17;0;19;17;15;0,86;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Disco;60 - Córdoba Shopping.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;62;0;0;47;0;94;150;75;0,5;196,55;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;690 - Rio Tercero II.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;140;0;0;28;0;9999;15;20;0;0;;25;25/12/2022;63;AL;V;SI;119,76;0;9779
Cordoba;Disco;709 - Recta Martinolli ll;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;180;0;0;27;0;51;28;15;0,52;0;;25;25/2/2023;1;AL;V;SI;119,76;0;9779
Cordoba;Disco;725 - Alta Gracia.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;200;0;0;20;0;147;73;10;0,14;0;;25;20/2/2023;6;AL;V;SI;119,76;0;9779
Cordoba;Disco;779 - Centro Distribución Córd;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;38333;0;0;1150;0;9999;40;3;0;0;;25;26/2/2023;0;  ;V;SI;119,76;0;0
